"","state_fips","state_long","state_lat","state_group","state_order","census_region","census_number","corn_loss","soybeans_loss","wheat_loss","cotton_loss"
"7778",29,-95.7527084350586,40.6112480163574,27,7804,"Midwest",2,3820241.37916435,9364483.15931814,254852.117800291,132.710118988063
"8093",30,-104.049133300781,48.9993515014648,28,8120,"West",4,609390.82097098,0,3073348.96370678,0
"8331",31,-104.060592651367,43.0062103271484,29,8359,"Midwest",2,1261293.83825326,955387.422067092,21780.9864100512,0
"8539",32,-114.041519165039,36.9958839416504,30,8568,"West",4,118975.933183389,0,30471.7391770449,0
"8609",33,-72.4734268188477,42.7311935424805,31,8639,"Northeast",1,0,0,0,0
"8734",34,-74.7251586914062,41.3675537109375,32,8765,"Northeast",1,3193951.15638908,4556030.73248161,204020.919687372,0
"8939",35,-103.00634765625,37.0016136169434,33,8971,"West",4,11535.9446394984,0,766.923264083976,145.94559569424
"9017",36,-73.9287414550781,40.8060531616211,34,9050,"Northeast",1,10923970.234772,3526331.26589142,667252.238440995,0
"9512",37,-75.8939895629883,36.5547065734863,38,9549,"South",3,5781224.37199765,18865218.970409,625529.892610701,784478.545051962
"10294",38,-104.049133300781,45.9397583007812,41,10334,"Midwest",2,1043488.4029291,3978129.88636262,1968433.68135676,0
"10399",39,-80.5177612304688,40.6456260681152,42,10440,"Midwest",2,3717598.88682744,6098235.07230158,132905.725484649,0
"10637",40,-102.049514770508,37.0016136169434,43,10679,"South",3,346989.542702369,2306616.03348733,1090998.82167823,1169993.62274441
"10921",41,-116.929229736328,45.9970512390137,44,10964,"West",4,578037.669737077,0,2198117.69670092,0
"11157",42,-79.7671813964844,42.2613677978516,45,11201,"Northeast",1,17178315.6841398,14888455.6711083,914782.161748503,0
"11329",44,-71.8431777954102,41.3446350097656,46,11374,"Northeast",1,0,0,0,0
"11395",45,-83.1075286865234,34.9905319213867,47,11441,"South",3,13167093.3250033,17679782.5409221,348268.654747094,4485074.3321742
"11699",46,-96.4345245361328,42.4733619689941,48,11746,"Midwest",2,560989.308689606,521369.631301113,154732.318765399,0
"11865",47,-89.7194595336914,36.0046691894531,49,11913,"South",3,3463655.57865211,14059301.9086546,76115.0657916818,350112.255189561
"12154",48,-94.4979248046875,33.6669998168945,50,12203,"South",3,12357170.9354179,2536356.40556159,5008194.77287356,23997665.7364763
"13242",49,-114.047248840332,42.0035362243652,51,13292,"West",4,8.18893255153671,0,128454.721994933,0
"13301",50,-73.3615188598633,45.0115661621094,52,13352,"Northeast",1,8559.12823501369,1.10505939819268,0,0
"13430",51,-75.6418838500977,37.964183807373,53,13482,"South",3,5672720.47506452,13832665.4945683,475816.087786565,250871.897508936
"14164",53,-123.01976776123,48.5696334838867,56,14219,"West",4,6481889.24675659,0,905658.971536182,0
"14709",54,-79.4978942871094,39.7231636047363,61,14769,"South",3,297952.096664057,462974.955443144,13841.0689417718,0
"15082",55,-87.8000564575195,42.502010345459,62,15143,"Midwest",2,6823289.72317732,5022142.39931941,172750.598485638,0
"15470",56,-109.051063537598,40.9951286315918,63,15532,"West",4,387400.998094429,0,21381.7636977402,0
